destination_state_code,origin_state_code,origin_state_abbr,origin_state_name,num_returns,num_individuals,agi
12,96,FL,FL Total Migration-US and Foreign,"392,771","709,120","58,175,465"
12,97,FL,FL Total Migration-US,"388,233","699,484","57,924,931"
12,98,FL,FL Total Migration-Foreign,"4,538","9,636","250,534"
12,97,FL,FL Total Migration-Same State,"387,184","667,607","23,863,225"
12,12,FL,FL Non-migrants,"8,080,885","15,343,429","687,659,953"
12,36,NY,New York,"49,277","84,365","11,000,837"
12,13,GA,Georgia,"24,120","44,175","2,320,171"
12,06,CA,California,"23,117","40,730","4,591,905"
12,34,NJ,New Jersey,"21,705","39,962","4,441,221"
12,48,TX,Texas,"20,859","37,999","1,747,375"
12,17,IL,Illinois,"18,180","33,210","4,432,681"
12,42,PA,Pennsylvania,"18,135","32,420","2,605,002"
12,51,VA,Virginia,"15,542","29,687","2,327,309"
12,37,NC,North Carolina,"15,083","27,717","1,285,389"
12,39,OH,Ohio,"14,612","25,944","2,148,891"
12,25,MA,Massachusetts,"12,866","22,108","2,314,309"
12,26,MI,Michigan,"12,005","21,018","1,890,993"
12,24,MD,Maryland,"10,010","18,037","1,551,641"
12,08,CO,Colorado,"9,974","18,017","1,030,131"
12,47,TN,Tennessee,"9,952","18,263","822,088"
12,09,CT,Connecticut,"9,014","16,466","2,126,536"
12,18,IN,Indiana,"8,448","15,271","949,979"
12,45,SC,South Carolina,"7,584","13,686","586,878"
12,01,AL,Alabama,"7,246","13,280","613,501"
12,53,WA,Washington,"6,354","12,584","894,060"
12,29,MO,Missouri,"5,601","10,220","689,257"
12,04,AZ,Arizona,"5,469","9,754","618,934"
12,55,WI,Wisconsin,"5,423","9,548","722,557"
12,27,MN,Minnesota,"5,290","9,741","940,559"
12,21,KY,Kentucky,"5,217","9,717","573,695"
12,57,FR,Foreign,"4,538","9,636","250,534"
12,32,NV,Nevada,"4,310","7,457","453,486"
12,22,LA,Louisiana,"3,733","6,808","316,694"
12,33,NH,New Hampshire,"3,032","5,277","310,570"
12,41,OR,Oregon,"2,541","4,736","215,801"
12,44,RI,Rhode Island,"2,492","4,454","252,304"
12,28,MS,Mississippi,"2,483","4,761","173,755"
12,23,ME,Maine,"2,422","4,177","308,017"
12,40,OK,Oklahoma,"2,301","4,351","170,129"
12,19,IA,Iowa,"2,284","4,055","221,114"
12,20,KS,Kansas,"2,267","4,162","245,087"
12,49,UT,Utah,"1,882","3,904","164,916"
12,54,WV,West Virginia,"1,844","3,274","142,393"
12,05,AR,Arkansas,"1,787","3,259","163,166"
12,15,HI,Hawaii,"1,669","3,398","137,263"
12,10,DE,Delaware,"1,664","2,977","336,546"
12,35,NM,New Mexico,"1,635","3,007","116,774"
12,11,DC,District Of Columbia,"1,604","2,243","399,543"
12,31,NE,Nebraska,"1,522","2,859","130,720"
12,50,VT,Vermont,"1,203","1,980","113,271"
12,02,AK,Alaska,973,"1,942","78,488"
12,16,ID,Idaho,903,"1,811","57,876"
12,38,ND,North Dakota,732,"1,371","46,975"
12,46,SD,South Dakota,705,"1,239","53,448"
12,30,MT,Montana,686,"1,217","52,334"
12,56,WY,Wyoming,476,846,"38,361"
"[1] Beginning in 2018, personal exemption deductions were suspended 
for the primary, secondary, and dependent taxpayers. However, the 
data used to create the “Number of individuals”—filing status, dependent 
status indicator, and identifying dependent information—are still available 
on the Form 1040. This field is based on these data.",,,,,,
"NOTE: This table presents aggregates of all returns filed and
processed through the Individual Master File (IMF) system 
during Calendar Years 2020 and 2021.",,,,,,
"Source:  IRS Individual Master File, Statistics of Income, April 2023.",,,,,,
